birth_year,generation,country,education_level,occupation,employment_status,monthly_income_eur,age_first_job,months_to_first_job,housing_status,job_satisfaction,life_satisfaction,economic_anxiety
1966,Gen X,Sweden,Medium,Unemployed,Employed,1537.0,25,18,Rent,2,10,1
1971,Gen X,Germany,Medium,Finance,Employed,1762.0,24,26,With parents,10,10,3
1979,Gen X,Sweden,Medium,Finance,Unemployed,1721.0,17,9,With parents,7,4,4
1945,Baby Boomer,Spain,Low,Construction,Employed,1778.0,18,16,Rent,4,8,8
1979,Gen X,France,Low,Construction,Employed,3491.0,29,1,Rent,5,8,2
1981,Millennial,Poland,Low,Retail,Employed,2590.0,25,16,Rent,7,2,8
1991,Millennial,Spain,High,IT,Inactive,2121.0,16,6,Rent,2,8,2
1958,Baby Boomer,France,Medium,Education,Employed,2888.0,17,15,Rent,5,5,3
1947,Baby Boomer,France,High,Finance,Employed,2114.0,16,26,Rent,2,2,8
1945,Baby Boomer,Netherlands,Medium,Construction,Employed,1485.0,29,0,With parents,10,6,9
1949,Baby Boomer,Spain,Medium,IT,Unemployed,755.0,24,21,Rent,6,8,5
1970,Gen X,Spain,Medium,Retail,Employed,3090.0,18,21,Own,10,4,4
1999,Gen Z,Sweden,High,Education,Employed,197.0,18,26,With parents,8,10,3
1958,Baby Boomer,France,Medium,IT,Unemployed,842.0,28,15,Own,7,9,3
1983,Millennial,France,Low,Education,Employed,2654.0,22,35,Rent,5,8,9
1971,Gen X,France,Medium,Unemployed,Employed,2184.0,16,15,Rent,3,7,4
1953,Baby Boomer,Sweden,Medium,Healthcare,Employed,3513.0,24,23,With parents,4,7,2
1959,Baby Boomer,Netherlands,Medium,Finance,Unemployed,1620.0,22,34,Rent,2,8,4
1959,Baby Boomer,Spain,Medium,Unemployed,Employed,2892.0,24,32,With parents,6,7,3
1970,Gen X,France,Medium,Healthcare,Employed,2041.0,23,16,With parents,8,1,5
1986,Millennial,Germany,Medium,Manufacturing,Inactive,2694.0,20,4,Rent,8,5,4
2004,Gen Z,Spain,Medium,Retail,Employed,2353.0,27,34,With parents,9,2,2
1957,Baby Boomer,Sweden,High,Finance,Employed,2654.0,18,18,With parents,5,5,10
1995,Millennial,Netherlands,High,Unemployed,Unemployed,2393.0,26,33,With parents,10,5,1
1976,Gen X,Germany,Medium,IT,Employed,2464.0,24,31,Rent,6,6,1
1983,Millennial,Sweden,Medium,Education,Employed,1220.0,20,24,With parents,2,6,1
1993,Millennial,Italy,High,Construction,Employed,2268.0,24,21,Own,10,6,3
1996,Millennial,Spain,Medium,Manufacturing,Employed,2742.0,18,26,With parents,4,7,2
1976,Gen X,Italy,Medium,Retail,Inactive,2154.0,21,32,With parents,3,2,4
1948,Baby Boomer,Sweden,High,Retail,Employed,2108.0,28,7,Rent,9,4,3
1974,Gen X,Sweden,Medium,Retail,Employed,505.0,17,29,With parents,6,5,7
1981,Millennial,Sweden,Low,IT,Inactive,3581.0,18,25,Rent,6,10,8
1967,Gen X,France,High,Unemployed,Employed,969.0,17,14,With parents,4,7,5
1983,Millennial,Netherlands,Low,Finance,Employed,1644.0,27,35,Own,6,2,6
1989,Millennial,France,High,Healthcare,Employed,1490.0,17,11,Rent,1,8,7
1959,Baby Boomer,Netherlands,High,Manufacturing,Employed,2467.0,20,11,Own,9,2,9
1987,Millennial,Poland,High,Unemployed,Employed,2508.0,25,3,With parents,3,5,1
1973,Gen X,France,Low,IT,Employed,2793.0,19,2,Own,5,9,2
1980,Gen X,Italy,Medium,Education,Employed,2833.0,26,31,With parents,7,2,1
1957,Baby Boomer,Netherlands,Medium,IT,Employed,3751.0,19,25,With parents,2,2,9
1976,Gen X,France,Medium,Education,Employed,1925.0,28,3,With parents,4,2,2
1951,Baby Boomer,Spain,Low,Education,Employed,1452.0,23,0,With parents,6,7,2
2003,Gen Z,Sweden,Medium,Retail,Employed,1989.0,29,4,With parents,1,5,5
1995,Millennial,Netherlands,Medium,IT,Employed,1205.0,21,1,With parents,6,9,9
1966,Gen X,Netherlands,Low,Healthcare,Employed,1889.0,25,10,Rent,5,4,3
1972,Gen X,France,Medium,Education,Employed,804.0,17,8,With parents,2,1,10
1946,Baby Boomer,Poland,High,Construction,Employed,1448.0,28,7,With parents,6,8,8
1986,Millennial,France,High,Retail,Employed,681.0,16,14,With parents,5,6,10
1989,Millennial,Czechia,High,Healthcare,Employed,3288.0,20,8,Own,1,9,1
2001,Gen Z,Italy,Medium,Unemployed,Employed,2300.0,22,29,Own,6,3,10
1997,Gen Z,Italy,High,Unemployed,Employed,3892.0,20,28,Rent,7,10,2
1950,Baby Boomer,Netherlands,High,Unemployed,Inactive,3200.0,27,24,Own,9,7,8
1972,Gen X,Netherlands,Medium,IT,Unemployed,3288.0,19,21,Rent,2,1,1
1972,Gen X,France,Low,Healthcare,Employed,2074.0,20,33,With parents,6,2,9
1988,Millennial,Italy,Medium,IT,Employed,2641.0,26,21,With parents,6,5,4
1988,Millennial,Italy,Medium,Education,Employed,1393.0,25,29,Rent,1,10,3
1964,Baby Boomer,Poland,Medium,Unemployed,Inactive,1721.0,23,9,Rent,8,2,3
1974,Gen X,Spain,Medium,Manufacturing,Inactive,2213.0,20,4,Rent,5,8,1
1955,Baby Boomer,Poland,High,Manufacturing,Employed,635.0,24,4,With parents,2,5,8
2002,Gen Z,Czechia,Medium,Unemployed,Unemployed,1744.0,25,1,Own,5,9,4
1999,Gen Z,Germany,Low,Finance,Employed,2914.0,22,29,With parents,4,3,1
1972,Gen X,Sweden,High,Finance,Employed,1759.0,26,21,Rent,7,6,5
1969,Gen X,Poland,Medium,Education,Unemployed,1537.0,28,12,With parents,10,4,10
1983,Millennial,Czechia,High,Healthcare,Employed,1854.0,29,24,With parents,8,7,8
1977,Gen X,France,Low,IT,Unemployed,2873.0,26,26,With parents,1,7,8
1945,Baby Boomer,Spain,High,Unemployed,Employed,2525.0,29,26,Own,1,5,10
2001,Gen Z,France,Low,Manufacturing,Employed,1997.0,17,20,Own,8,10,3
1971,Gen X,Sweden,Low,Unemployed,Employed,2216.0,24,30,With parents,4,5,4
2001,Gen Z,Czechia,Low,IT,Employed,2971.0,17,14,With parents,8,4,10
1996,Millennial,Germany,High,Education,Employed,3377.0,21,35,Rent,7,9,4
1957,Baby Boomer,Spain,High,Healthcare,Employed,1773.0,29,35,With parents,9,7,3
1985,Millennial,Netherlands,Medium,Construction,Employed,2126.0,23,0,Own,7,6,6
1947,Baby Boomer,Italy,High,IT,Employed,3320.0,17,10,Own,4,3,3
1983,Millennial,Poland,Medium,Unemployed,Unemployed,2671.0,21,4,With parents,5,5,6
1950,Baby Boomer,Czechia,Medium,Healthcare,Employed,937.0,20,33,Own,7,4,5
1952,Baby Boomer,France,High,Construction,Employed,1396.0,22,4,Own,2,5,2
1971,Gen X,Germany,Medium,Manufacturing,Employed,1424.0,25,19,Own,3,2,8
1953,Baby Boomer,Italy,Medium,IT,Employed,1826.0,28,12,With parents,3,5,7
1981,Millennial,Poland,High,Retail,Employed,2533.0,20,8,Rent,9,7,7
1977,Gen X,Italy,High,Manufacturing,Employed,3897.0,29,4,Own,2,10,6
1995,Millennial,Poland,High,Healthcare,Employed,2125.0,29,31,Rent,4,10,9
1986,Millennial,Czechia,High,Education,Employed,2794.0,18,29,With parents,8,3,4
1988,Millennial,Netherlands,Low,Retail,Employed,3220.0,21,27,Rent,1,4,5
1968,Gen X,Spain,High,Finance,Inactive,3538.0,22,27,Rent,9,1,9
1959,Baby Boomer,Czechia,Medium,IT,Employed,3221.0,16,5,Rent,6,9,3
2003,Gen Z,Italy,High,Unemployed,Unemployed,1528.0,23,28,With parents,4,3,3
1998,Gen Z,Italy,Medium,Finance,Employed,894.0,23,3,With parents,5,10,8
1976,Gen X,Italy,Medium,Manufacturing,Employed,1634.0,28,17,With parents,7,6,10
1976,Gen X,Spain,Medium,Unemployed,Employed,2352.0,19,14,With parents,8,1,6
1968,Gen X,Germany,Medium,IT,Inactive,1531.0,29,24,Own,5,5,2
1985,Millennial,Poland,Low,IT,Employed,737.0,29,3,With parents,7,10,3
1996,Millennial,Czechia,High,Retail,Employed,1106.0,23,13,Rent,3,5,8
1993,Millennial,Czechia,High,Retail,Employed,4906.0,18,16,Rent,2,5,5
1993,Millennial,Netherlands,Low,Retail,Employed,2003.0,28,33,With parents,2,1,2
2002,Gen Z,Italy,High,Retail,Inactive,3820.0,20,18,Own,10,7,3
1996,Millennial,Sweden,Medium,Education,Unemployed,1989.0,18,28,Own,3,5,2
1956,Baby Boomer,Czechia,Medium,Unemployed,Unemployed,2913.0,17,21,With parents,6,1,5
1983,Millennial,Spain,Medium,Unemployed,Employed,2071.0,20,13,Own,10,8,5
1946,Baby Boomer,Germany,High,Healthcare,Inactive,2207.0,23,35,Rent,1,6,9
1947,Baby Boomer,Czechia,High,Retail,Employed,2901.0,24,1,Own,3,7,6
1993,Millennial,Poland,Medium,Manufacturing,Employed,1838.0,20,6,Own,3,4,2
1981,Millennial,Spain,Medium,Unemployed,Unemployed,1125.0,18,27,With parents,2,1,1
1993,Millennial,Netherlands,Low,IT,Employed,1475.0,27,7,Rent,1,8,7
2000,Gen Z,Netherlands,Medium,Finance,Employed,1470.0,18,28,Own,1,1,7
1961,Baby Boomer,Poland,Low,Retail,Employed,2275.0,23,9,Own,1,9,10
2003,Gen Z,Italy,Low,Manufacturing,Employed,494.0,18,20,Rent,8,6,6
1993,Millennial,Netherlands,Medium,Education,Employed,2475.0,24,34,Own,6,5,2
1946,Baby Boomer,Germany,High,Manufacturing,Employed,3340.0,25,3,Rent,9,2,8
1946,Baby Boomer,Spain,Medium,Finance,Unemployed,1743.0,16,20,Own,3,8,4
1972,Gen X,Czechia,Low,Finance,Unemployed,1611.0,16,24,With parents,7,9,7
1998,Gen Z,Germany,Medium,Manufacturing,Inactive,3971.0,20,19,Own,6,3,8
1967,Gen X,Italy,High,Education,Employed,3525.0,19,6,Own,9,10,7
1981,Millennial,Germany,High,Unemployed,Unemployed,2585.0,18,6,Own,9,8,3
1976,Gen X,Germany,High,Finance,Unemployed,1527.0,16,31,Rent,9,10,8
1977,Gen X,France,Medium,Education,Employed,2725.0,22,31,Rent,7,5,4
1945,Baby Boomer,Germany,High,IT,Employed,1292.0,16,21,With parents,9,10,8
1963,Baby Boomer,Poland,Low,Retail,Employed,1009.0,21,24,With parents,7,4,5
1946,Baby Boomer,Spain,Medium,Finance,Employed,2607.0,25,5,With parents,9,10,9
1997,Gen Z,France,Medium,Manufacturing,Employed,1770.0,17,26,With parents,2,9,3
1988,Millennial,Spain,Medium,Unemployed,Employed,379.0,29,17,With parents,2,7,2
1970,Gen X,Spain,High,Healthcare,Employed,2728.0,19,11,Rent,7,4,4
1976,Gen X,Italy,High,Healthcare,Employed,3514.0,23,27,With parents,10,5,2
1950,Baby Boomer,Italy,Low,Construction,Employed,2794.0,18,18,Own,6,5,2
1976,Gen X,France,Low,IT,Unemployed,1751.0,24,16,With parents,6,2,1
1999,Gen Z,Netherlands,Medium,Healthcare,Unemployed,274.0,20,34,With parents,5,5,8
1948,Baby Boomer,Sweden,Medium,IT,Employed,2332.0,21,14,With parents,1,3,1
1999,Gen Z,Italy,Medium,Unemployed,Employed,1609.0,17,4,With parents,7,5,8
1955,Baby Boomer,Sweden,High,Retail,Employed,1389.0,16,35,Rent,2,1,9
2000,Gen Z,Italy,High,Construction,Employed,448.0,20,32,With parents,8,8,6
2003,Gen Z,Italy,Medium,IT,Employed,3889.0,16,20,Rent,10,9,7
1961,Baby Boomer,Spain,High,Education,Unemployed,1213.0,19,34,With parents,7,9,6
1982,Millennial,France,Medium,Education,Employed,561.0,23,26,Rent,2,8,1
1968,Gen X,Spain,Low,Construction,Unemployed,3725.0,29,29,With parents,2,2,1
1949,Baby Boomer,Czechia,Medium,Unemployed,Unemployed,2228.0,27,29,Own,10,2,1
1996,Millennial,Poland,Medium,Unemployed,Employed,2088.0,28,20,Rent,8,10,3
1978,Gen X,Spain,High,Education,Employed,2478.0,17,25,Rent,5,5,7
1950,Baby Boomer,Sweden,Low,Finance,Employed,2592.0,21,23,With parents,8,6,8
1966,Gen X,Sweden,Medium,Education,Employed,2392.0,27,21,Rent,1,5,1
1955,Baby Boomer,Poland,Medium,Education,Employed,844.0,25,25,Rent,9,1,6
1992,Millennial,Germany,High,Unemployed,Inactive,774.0,28,21,Rent,8,1,8
1960,Baby Boomer,Germany,Medium,Education,Unemployed,1544.0,29,32,Own,6,8,5
1977,Gen X,Poland,High,Education,Inactive,1741.0,20,23,With parents,8,5,2
1953,Baby Boomer,Poland,High,Finance,Employed,1876.0,16,4,Own,1,8,4
2004,Gen Z,Spain,Medium,Education,Employed,2406.0,23,23,Own,8,3,4
2003,Gen Z,Poland,Medium,Education,Employed,1948.0,20,34,With parents,1,5,4
1950,Baby Boomer,Czechia,High,Retail,Employed,1587.0,24,21,Own,4,2,8
1960,Baby Boomer,France,Medium,Unemployed,Employed,2555.0,17,32,Own,10,8,6
1973,Gen X,Germany,High,Unemployed,Employed,2842.0,21,16,Rent,3,1,9
1947,Baby Boomer,Germany,Low,Finance,Employed,1472.0,22,11,Rent,3,5,10
1964,Baby Boomer,Czechia,Low,Education,Inactive,969.0,16,29,With parents,10,7,1
2004,Gen Z,Netherlands,High,IT,Inactive,2362.0,29,25,With parents,9,10,1
2003,Gen Z,Czechia,High,Construction,Employed,1821.0,25,12,Own,8,5,2
1980,Gen X,Czechia,High,Unemployed,Inactive,2952.0,19,5,With parents,10,3,5
1963,Baby Boomer,Poland,Medium,Retail,Employed,1313.0,17,2,With parents,8,4,6
1970,Gen X,Italy,High,Finance,Employed,1115.0,22,10,Rent,7,9,3
