id_order_detail,order_id,product_id,quantity,id_product,name,supplier_id,category_id,unit,price,id,name_category,description
48,10264,2,35,2,Chang,1,1,24 - 12 oz bottles,19.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
49,10264,41,25,41,Jack's New England Clam Chowder,19,8,12 - 12 oz cans,9.65,8,Seafood,Seaweed and fish
50,10265,17,30,17,Alice Mutton,7,6,20 - 1 kg tins,39.0,6,Meat/Poultry,Prepared meats
51,10265,70,20,70,Outback Lager,7,1,24 - 355 ml bottles,15.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
52,10266,12,12,12,Queso Manchego La Pastora,5,4,10 - 500 g pkgs.,38.0,4,Dairy Products,Cheeses
53,10267,40,50,40,Boston Crab Meat,19,8,24 - 4 oz tins,18.4,8,Seafood,Seaweed and fish
54,10267,59,70,59,Raclette Courdavault,28,4,5 kg pkg.,55.0,4,Dairy Products,Cheeses
55,10267,76,15,76,Lakkalikööri,23,1,500 ml,18.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
56,10268,29,10,29,Thüringer Rostbratwurst,12,6,50 bags x 30 sausgs.,123.79,6,Meat/Poultry,Prepared meats
57,10268,72,4,72,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,4,Dairy Products,Cheeses
58,10269,33,60,33,Geitost,15,4,500 g,2.5,4,Dairy Products,Cheeses
59,10269,72,20,72,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,4,Dairy Products,Cheeses
60,10270,36,30,36,Inlagd Sill,17,8,24 - 250 g jars,19.0,8,Seafood,Seaweed and fish
61,10270,43,25,43,Ipoh Coffee,20,1,16 - 500 g tins,46.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
62,10271,33,24,33,Geitost,15,4,500 g,2.5,4,Dairy Products,Cheeses
63,10272,20,6,20,Sir Rodney's Marmalade,8,3,30 gift boxes,81.0,3,Confections,"Desserts, candies, and sweet breads"
64,10272,31,40,31,Gorgonzola Telino,14,4,12 - 100 g pkgs,12.5,4,Dairy Products,Cheeses
65,10272,72,24,72,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,4,Dairy Products,Cheeses
66,10273,10,24,10,Ikura,4,8,12 - 200 ml jars,31.0,8,Seafood,Seaweed and fish
67,10273,31,15,31,Gorgonzola Telino,14,4,12 - 100 g pkgs,12.5,4,Dairy Products,Cheeses
68,10273,33,20,33,Geitost,15,4,500 g,2.5,4,Dairy Products,Cheeses
69,10273,40,60,40,Boston Crab Meat,19,8,24 - 4 oz tins,18.4,8,Seafood,Seaweed and fish
70,10273,76,33,76,Lakkalikööri,23,1,500 ml,18.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
71,10274,71,20,71,Fløtemysost,15,4,10 - 500 g pkgs.,21.5,4,Dairy Products,Cheeses
72,10274,72,7,72,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,4,Dairy Products,Cheeses
73,10275,24,12,24,Guaraná Fantástica,10,1,12 - 355 ml cans,4.5,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
74,10275,59,6,59,Raclette Courdavault,28,4,5 kg pkg.,55.0,4,Dairy Products,Cheeses
75,10276,10,15,10,Ikura,4,8,12 - 200 ml jars,31.0,8,Seafood,Seaweed and fish
76,10276,13,10,13,Konbu,6,8,2 kg box,6.0,8,Seafood,Seaweed and fish
77,10277,28,20,28,Rössle Sauerkraut,12,7,25 - 825 g cans,45.6,7,Produce,Dried fruit and bean curd
78,10277,62,12,62,Tarte au sucre,29,3,48 pies,49.3,3,Confections,"Desserts, candies, and sweet breads"
79,10278,44,16,44,Gula Malacca,20,2,20 - 2 kg bags,19.45,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
80,10278,59,15,59,Raclette Courdavault,28,4,5 kg pkg.,55.0,4,Dairy Products,Cheeses
81,10278,63,8,63,Vegie-spread,7,2,15 - 625 g jars,43.9,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
82,10278,73,25,73,Röd Kaviar,17,8,24 - 150 g jars,15.0,8,Seafood,Seaweed and fish
83,10279,17,15,17,Alice Mutton,7,6,20 - 1 kg tins,39.0,6,Meat/Poultry,Prepared meats
84,10280,24,12,24,Guaraná Fantástica,10,1,12 - 355 ml cans,4.5,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
85,10280,55,20,55,Pâté chinois,25,6,24 boxes x 2 pies,24.0,6,Meat/Poultry,Prepared meats
86,10280,75,30,75,Rhönbräu Klosterbier,12,1,24 - 0.5 l bottles,7.75,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
87,10281,19,1,19,Teatime Chocolate Biscuits,8,3,10 boxes x 12 pieces,9.2,3,Confections,"Desserts, candies, and sweet breads"
88,10281,24,6,24,Guaraná Fantástica,10,1,12 - 355 ml cans,4.5,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
89,10281,35,4,35,Steeleye Stout,16,1,24 - 12 oz bottles,18.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
90,10282,30,6,30,Nord-Ost Matjeshering,13,8,10 - 200 g glasses,25.89,8,Seafood,Seaweed and fish
91,10282,57,2,57,Ravioli Angelo,26,5,24 - 250 g pkgs.,19.5,5,Grains/Cereals,"Breads, crackers, pasta, and cereal"
92,10283,15,20,15,Genen Shouyu,6,2,24 - 250 ml bottles,15.5,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
93,10283,19,18,19,Teatime Chocolate Biscuits,8,3,10 boxes x 12 pieces,9.2,3,Confections,"Desserts, candies, and sweet breads"
94,10283,60,35,60,Camembert Pierrot,28,4,15 - 300 g rounds,34.0,4,Dairy Products,Cheeses
95,10283,72,3,72,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,4,Dairy Products,Cheeses
96,10284,27,15,27,Schoggi Schokolade,11,3,100 - 100 g pieces,43.9,3,Confections,"Desserts, candies, and sweet breads"
97,10284,44,21,44,Gula Malacca,20,2,20 - 2 kg bags,19.45,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
98,10284,60,20,60,Camembert Pierrot,28,4,15 - 300 g rounds,34.0,4,Dairy Products,Cheeses
99,10284,67,5,67,Laughing Lumberjack Lager,16,1,24 - 12 oz bottles,14.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
100,10285,1,45,1,Chais,1,1,10 boxes x 20 bags,18.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
101,10285,40,40,40,Boston Crab Meat,19,8,24 - 4 oz tins,18.4,8,Seafood,Seaweed and fish
102,10285,53,36,53,Perth Pasties,24,6,48 pieces,32.8,6,Meat/Poultry,Prepared meats
103,10286,35,100,35,Steeleye Stout,16,1,24 - 12 oz bottles,18.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
104,10286,62,40,62,Tarte au sucre,29,3,48 pies,49.3,3,Confections,"Desserts, candies, and sweet breads"
105,10287,16,40,16,Pavlova,7,3,32 - 500 g boxes,17.45,3,Confections,"Desserts, candies, and sweet breads"
106,10287,34,20,34,Sasquatch Ale,16,1,24 - 12 oz bottles,14.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
107,10287,46,15,46,Spegesild,21,8,4 - 450 g glasses,12.0,8,Seafood,Seaweed and fish
108,10288,54,10,54,Tourtière,25,6,16 pies,7.45,6,Meat/Poultry,Prepared meats
109,10288,68,3,68,Scottish Longbreads,8,3,10 boxes x 8 pieces,12.5,3,Confections,"Desserts, candies, and sweet breads"
110,10289,3,30,3,Aniseed Syrup,1,2,12 - 550 ml bottles,10.0,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
111,10289,64,9,64,Wimmers gute Semmelknödel,12,5,20 bags x 4 pieces,33.25,5,Grains/Cereals,"Breads, crackers, pasta, and cereal"
112,10290,5,20,5,Chef Anton's Gumbo Mix,2,2,36 boxes,21.35,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
113,10290,29,15,29,Thüringer Rostbratwurst,12,6,50 bags x 30 sausgs.,123.79,6,Meat/Poultry,Prepared meats
114,10290,49,15,49,Maxilaku,23,3,24 - 50 g pkgs.,20.0,3,Confections,"Desserts, candies, and sweet breads"
115,10290,77,10,77,Original Frankfurter grüne Soße,12,2,12 boxes,13.0,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
116,10291,13,20,13,Konbu,6,8,2 kg box,6.0,8,Seafood,Seaweed and fish
117,10291,44,24,44,Gula Malacca,20,2,20 - 2 kg bags,19.45,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
118,10291,51,2,51,Manjimup Dried Apples,24,7,50 - 300 g pkgs.,53.0,7,Produce,Dried fruit and bean curd
119,10292,20,20,20,Sir Rodney's Marmalade,8,3,30 gift boxes,81.0,3,Confections,"Desserts, candies, and sweet breads"
120,10293,18,12,18,Carnarvon Tigers,7,8,16 kg pkg.,62.5,8,Seafood,Seaweed and fish
121,10293,24,10,24,Guaraná Fantástica,10,1,12 - 355 ml cans,4.5,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
122,10293,63,5,63,Vegie-spread,7,2,15 - 625 g jars,43.9,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
123,10293,75,6,75,Rhönbräu Klosterbier,12,1,24 - 0.5 l bottles,7.75,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
124,10294,1,18,1,Chais,1,1,10 boxes x 20 bags,18.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
125,10294,17,15,17,Alice Mutton,7,6,20 - 1 kg tins,39.0,6,Meat/Poultry,Prepared meats
126,10294,43,15,43,Ipoh Coffee,20,1,16 - 500 g tins,46.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
127,10294,60,21,60,Camembert Pierrot,28,4,15 - 300 g rounds,34.0,4,Dairy Products,Cheeses
128,10294,75,6,75,Rhönbräu Klosterbier,12,1,24 - 0.5 l bottles,7.75,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
129,10295,56,4,56,Gnocchi di nonna Alice,26,5,24 - 250 g pkgs.,38.0,5,Grains/Cereals,"Breads, crackers, pasta, and cereal"
130,10296,11,12,11,Queso Cabrales,5,4,1 kg pkg.,21.0,4,Dairy Products,Cheeses
131,10296,16,30,16,Pavlova,7,3,32 - 500 g boxes,17.45,3,Confections,"Desserts, candies, and sweet breads"
132,10296,69,15,69,Gudbrandsdalsost,15,4,10 kg pkg.,36.0,4,Dairy Products,Cheeses
133,10297,39,60,39,Chartreuse verte,18,1,750 cc per bottle,18.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
134,10297,72,20,72,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,4,Dairy Products,Cheeses
135,10298,2,40,2,Chang,1,1,24 - 12 oz bottles,19.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
136,10298,36,40,36,Inlagd Sill,17,8,24 - 250 g jars,19.0,8,Seafood,Seaweed and fish
137,10298,59,30,59,Raclette Courdavault,28,4,5 kg pkg.,55.0,4,Dairy Products,Cheeses
138,10298,62,15,62,Tarte au sucre,29,3,48 pies,49.3,3,Confections,"Desserts, candies, and sweet breads"
139,10299,19,15,19,Teatime Chocolate Biscuits,8,3,10 boxes x 12 pieces,9.2,3,Confections,"Desserts, candies, and sweet breads"
140,10299,70,20,70,Outback Lager,7,1,24 - 355 ml bottles,15.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
141,10300,66,30,66,Louisiana Hot Spiced Okra,2,2,24 - 8 oz jars,17.0,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
142,10300,68,20,68,Scottish Longbreads,8,3,10 boxes x 8 pieces,12.5,3,Confections,"Desserts, candies, and sweet breads"
143,10301,40,10,40,Boston Crab Meat,19,8,24 - 4 oz tins,18.4,8,Seafood,Seaweed and fish
144,10301,56,20,56,Gnocchi di nonna Alice,26,5,24 - 250 g pkgs.,38.0,5,Grains/Cereals,"Breads, crackers, pasta, and cereal"
145,10302,17,40,17,Alice Mutton,7,6,20 - 1 kg tins,39.0,6,Meat/Poultry,Prepared meats
146,10302,28,28,28,Rössle Sauerkraut,12,7,25 - 825 g cans,45.6,7,Produce,Dried fruit and bean curd
147,10302,43,12,43,Ipoh Coffee,20,1,16 - 500 g tins,46.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
148,10303,40,40,40,Boston Crab Meat,19,8,24 - 4 oz tins,18.4,8,Seafood,Seaweed and fish
149,10303,65,30,65,Louisiana Fiery Hot Pepper Sauce,2,2,32 - 8 oz bottles,21.05,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
150,10303,68,15,68,Scottish Longbreads,8,3,10 boxes x 8 pieces,12.5,3,Confections,"Desserts, candies, and sweet breads"
151,10304,49,30,49,Maxilaku,23,3,24 - 50 g pkgs.,20.0,3,Confections,"Desserts, candies, and sweet breads"
152,10304,59,10,59,Raclette Courdavault,28,4,5 kg pkg.,55.0,4,Dairy Products,Cheeses
153,10304,71,2,71,Fløtemysost,15,4,10 - 500 g pkgs.,21.5,4,Dairy Products,Cheeses
154,10305,18,25,18,Carnarvon Tigers,7,8,16 kg pkg.,62.5,8,Seafood,Seaweed and fish
155,10305,29,25,29,Thüringer Rostbratwurst,12,6,50 bags x 30 sausgs.,123.79,6,Meat/Poultry,Prepared meats
156,10305,39,30,39,Chartreuse verte,18,1,750 cc per bottle,18.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
157,10306,30,10,30,Nord-Ost Matjeshering,13,8,10 - 200 g glasses,25.89,8,Seafood,Seaweed and fish
158,10306,53,10,53,Perth Pasties,24,6,48 pieces,32.8,6,Meat/Poultry,Prepared meats
159,10306,54,5,54,Tourtière,25,6,16 pies,7.45,6,Meat/Poultry,Prepared meats
160,10307,62,10,62,Tarte au sucre,29,3,48 pies,49.3,3,Confections,"Desserts, candies, and sweet breads"
161,10307,68,3,68,Scottish Longbreads,8,3,10 boxes x 8 pieces,12.5,3,Confections,"Desserts, candies, and sweet breads"
162,10308,69,1,69,Gudbrandsdalsost,15,4,10 kg pkg.,36.0,4,Dairy Products,Cheeses
163,10308,70,5,70,Outback Lager,7,1,24 - 355 ml bottles,15.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
164,10309,4,20,4,Chef Anton's Cajun Seasoning,2,2,48 - 6 oz jars,22.0,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
165,10309,6,30,6,Grandma's Boysenberry Spread,3,2,12 - 8 oz jars,25.0,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
166,10309,42,2,42,Singaporean Hokkien Fried Mee,20,5,32 - 1 kg pkgs.,14.0,5,Grains/Cereals,"Breads, crackers, pasta, and cereal"
167,10309,43,20,43,Ipoh Coffee,20,1,16 - 500 g tins,46.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
168,10309,71,3,71,Fløtemysost,15,4,10 - 500 g pkgs.,21.5,4,Dairy Products,Cheeses
169,10310,16,10,16,Pavlova,7,3,32 - 500 g boxes,17.45,3,Confections,"Desserts, candies, and sweet breads"
170,10310,62,5,62,Tarte au sucre,29,3,48 pies,49.3,3,Confections,"Desserts, candies, and sweet breads"
171,10311,42,6,42,Singaporean Hokkien Fried Mee,20,5,32 - 1 kg pkgs.,14.0,5,Grains/Cereals,"Breads, crackers, pasta, and cereal"
172,10311,69,7,69,Gudbrandsdalsost,15,4,10 kg pkg.,36.0,4,Dairy Products,Cheeses
173,10312,28,4,28,Rössle Sauerkraut,12,7,25 - 825 g cans,45.6,7,Produce,Dried fruit and bean curd
174,10312,43,24,43,Ipoh Coffee,20,1,16 - 500 g tins,46.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
175,10312,53,20,53,Perth Pasties,24,6,48 pieces,32.8,6,Meat/Poultry,Prepared meats
176,10312,75,10,75,Rhönbräu Klosterbier,12,1,24 - 0.5 l bottles,7.75,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
177,10313,36,12,36,Inlagd Sill,17,8,24 - 250 g jars,19.0,8,Seafood,Seaweed and fish
178,10314,32,40,32,Mascarpone Fabioli,14,4,24 - 200 g pkgs.,32.0,4,Dairy Products,Cheeses
179,10314,58,30,58,Escargots de Bourgogne,27,8,24 pieces,13.25,8,Seafood,Seaweed and fish
180,10314,62,25,62,Tarte au sucre,29,3,48 pies,49.3,3,Confections,"Desserts, candies, and sweet breads"
181,10315,34,14,34,Sasquatch Ale,16,1,24 - 12 oz bottles,14.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
182,10315,70,30,70,Outback Lager,7,1,24 - 355 ml bottles,15.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
183,10316,41,10,41,Jack's New England Clam Chowder,19,8,12 - 12 oz cans,9.65,8,Seafood,Seaweed and fish
184,10316,62,70,62,Tarte au sucre,29,3,48 pies,49.3,3,Confections,"Desserts, candies, and sweet breads"
185,10317,1,20,1,Chais,1,1,10 boxes x 20 bags,18.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
186,10318,41,20,41,Jack's New England Clam Chowder,19,8,12 - 12 oz cans,9.65,8,Seafood,Seaweed and fish
187,10318,76,6,76,Lakkalikööri,23,1,500 ml,18.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
188,10319,17,8,17,Alice Mutton,7,6,20 - 1 kg tins,39.0,6,Meat/Poultry,Prepared meats
189,10319,28,14,28,Rössle Sauerkraut,12,7,25 - 825 g cans,45.6,7,Produce,Dried fruit and bean curd
190,10319,76,30,76,Lakkalikööri,23,1,500 ml,18.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
191,10320,71,30,71,Fløtemysost,15,4,10 - 500 g pkgs.,21.5,4,Dairy Products,Cheeses
192,10321,35,10,35,Steeleye Stout,16,1,24 - 12 oz bottles,18.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
193,10322,52,20,52,Filo Mix,24,5,16 - 2 kg boxes,7.0,5,Grains/Cereals,"Breads, crackers, pasta, and cereal"
194,10323,15,5,15,Genen Shouyu,6,2,24 - 250 ml bottles,15.5,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
195,10323,25,4,25,NuNuCa Nuß-Nougat-Creme,11,3,20 - 450 g glasses,14.0,3,Confections,"Desserts, candies, and sweet breads"
196,10323,39,4,39,Chartreuse verte,18,1,750 cc per bottle,18.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
197,10324,16,21,16,Pavlova,7,3,32 - 500 g boxes,17.45,3,Confections,"Desserts, candies, and sweet breads"
198,10324,35,70,35,Steeleye Stout,16,1,24 - 12 oz bottles,18.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
199,10324,46,30,46,Spegesild,21,8,4 - 450 g glasses,12.0,8,Seafood,Seaweed and fish
200,10324,59,40,59,Raclette Courdavault,28,4,5 kg pkg.,55.0,4,Dairy Products,Cheeses
201,10324,63,80,63,Vegie-spread,7,2,15 - 625 g jars,43.9,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
202,10325,6,6,6,Grandma's Boysenberry Spread,3,2,12 - 8 oz jars,25.0,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
203,10325,13,12,13,Konbu,6,8,2 kg box,6.0,8,Seafood,Seaweed and fish
204,10325,14,9,14,Tofu,6,7,40 - 100 g pkgs.,23.25,7,Produce,Dried fruit and bean curd
205,10325,31,4,31,Gorgonzola Telino,14,4,12 - 100 g pkgs,12.5,4,Dairy Products,Cheeses
206,10325,72,40,72,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,4,Dairy Products,Cheeses
207,10326,4,24,4,Chef Anton's Cajun Seasoning,2,2,48 - 6 oz jars,22.0,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
208,10326,57,16,57,Ravioli Angelo,26,5,24 - 250 g pkgs.,19.5,5,Grains/Cereals,"Breads, crackers, pasta, and cereal"
209,10326,75,50,75,Rhönbräu Klosterbier,12,1,24 - 0.5 l bottles,7.75,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
210,10327,2,25,2,Chang,1,1,24 - 12 oz bottles,19.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
211,10327,11,50,11,Queso Cabrales,5,4,1 kg pkg.,21.0,4,Dairy Products,Cheeses
212,10327,30,35,30,Nord-Ost Matjeshering,13,8,10 - 200 g glasses,25.89,8,Seafood,Seaweed and fish
213,10327,58,30,58,Escargots de Bourgogne,27,8,24 pieces,13.25,8,Seafood,Seaweed and fish
214,10328,59,9,59,Raclette Courdavault,28,4,5 kg pkg.,55.0,4,Dairy Products,Cheeses
215,10328,65,40,65,Louisiana Fiery Hot Pepper Sauce,2,2,32 - 8 oz bottles,21.05,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
216,10328,68,10,68,Scottish Longbreads,8,3,10 boxes x 8 pieces,12.5,3,Confections,"Desserts, candies, and sweet breads"
217,10329,19,10,19,Teatime Chocolate Biscuits,8,3,10 boxes x 12 pieces,9.2,3,Confections,"Desserts, candies, and sweet breads"
218,10329,30,8,30,Nord-Ost Matjeshering,13,8,10 - 200 g glasses,25.89,8,Seafood,Seaweed and fish
219,10329,38,20,38,Côte de Blaye,18,1,12 - 75 cl bottles,263.5,1,Beverages,"Soft drinks, coffees, teas, beers, and ales"
220,10329,56,12,56,Gnocchi di nonna Alice,26,5,24 - 250 g pkgs.,38.0,5,Grains/Cereals,"Breads, crackers, pasta, and cereal"
